the_geom,OBJECTID,Status,Score,MATCH_TYPE,Match_addr,Side,User_fld,Addr_type,Full Address,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3,B1_PER_GROUP,SUBDIVISIONNAME,PERMITNUM,PERMITTYPE,B1_APPL_STATUS,B1_HSE_NBR_START,B1_HSE_FRAC_NBR_START,B1_STR_DIR,B1_STR_NAME,B1_STR_SUFFIX,B1_STR_SUFFIX_DIR,B1_UNIT_TYPE,B1_WORK_DESC,ADDRESS,SEQ,LINK,WEB,StPreDir,Country,X,StPreType,State,SubAddressType,StateAbbr,StType,Xmax,Distance,StDir,DisplayY,City,AddNum,StName,ZIP,LangCode,Ymax,B1_UNIT_START,DisplayX,ZIP4,StAddr,Y,Xmin,SubAddressUnit,Ymin,County
POINT (-105.042013627287 40.629256885612),314,M,100,A,"1911 MORNINGSTAR WAY, 80524",,700122390,SubAddress,,22COM,0,419,Building,WATERS EDGE THIRD FILING,B2206287,Residential New Single Family Attached,Issued Full,"1,911",,,MORNINGSTAR,WAY,,,"10/4/2022 - adding option 4 wet bar. 
New 1689 sq. ft., 1 story, single family attached residence with 525 sq. ft. attached garage with 1175 finished basement and 589 sq. ft. unfinished basement . Stock plan SP02381 (5-Plex Townhome - 1582) with options 3 (Farmhouse Elevation), 5 (Electric Fireplace @ Living Room) and  8 (Finished basement (Bedroom 3, Bath 3 +Rec Room - remaining Unfinished 707). Energy Compliance: SPA. ELCO/Boxelder. 200 Amp. Job contact: Jason Hoyle 303-356-8496",1911   MORNINGSTAR WAY,59,&capID1=22COM&capID2=00000&capID3=00419,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00419&agencyCode=FTCOLLINS,,USA,"3,127,140.52",,,,,WAY,0,0,,0,,1911,MORNINGSTAR,80524,,0,5,0,,1911 MORNINGSTAR WAY,"1,472,397.56",0,,0,
POINT (-105.045468810508 40.502110625706),"1,741",M,100,A,"1757 DANCING CATTAIL DR, 80528",,700413109,SubAddress,,22COM,0,131,Building,RENNAT,B2202077,Residential New Single Family Detached,Issued Full,"1,757",,,DANCING CATTAIL,DR,,,"4/12/2023 - revision submitted to add unfinished basement 
New single family residence 2 story, 2611 sq ft with 1009 unfinished basement and 556 sq ft attached garage . Stock plan SP02311 with options 1  (Unfinished full basement with stairs up to main floor)  8 (double vanity in owners bath) 9 (double vanity in bath 2 ) 14 (air conditioner) 16 (brick, roof line).SPA. FCLWD. 200 A .Job contact: Zach Marsh 303-548-8173",1757   DANCING CATTAIL DR,,&capID1=22COM&capID2=00000&capID3=00131,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00131&agencyCode=FTCOLLINS,,USA,"3,126,403.27",,,,,DR,0,0,,0,,1757,DANCING CATTAIL,80528,,0,,0,,1757 DANCING CATTAIL DR,"1,426,081.00",0,,0,
,"1,554",U,0,A,,,,,,22CAP,0,000FE,Building,2593 studio,SP02377,Stock Plan,Approved,,,,,,,,,,,&capID1=22CAP&capID2=00000&capID3=000FE,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000FE&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.042944372947 40.502007336369),130,M,100,A,"1904 ROSEN DR, 80528",,700413427,SubAddress,,22COM,0,192,Building,RENNAT,B2202350,Residential New Single Family Attached,Ready to Issue,"1,904",,,ROSEN,DR,,,"New 1,448 sq. ft., 2 story, single family attached residence with 408 sq. ft. attached garage on crawl space foundation. Stock plan SP02341(paired townhome) with options 4 (double vanity in bath 2) 7 (air conditioner) 9 (right unit) 16 (Colorado) . Energy Compliance: UA. FCLWD. 200 Amp. Job contact: Zach Marsh 303-548-8173",1904   ROSEN DR,,&capID1=22COM&capID2=00000&capID3=00192,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00192&agencyCode=FTCOLLINS,,USA,"3,127,105.47",,,,,DR,0,0,,0,,1904,ROSEN,80528,,0,,0,,1904 ROSEN DR,"1,426,046.98",0,,0,
POINT (-105.075219972492 40.586076891179),"1,826",M,100,A,"142 REMINGTON ST, 80524",,207750000,SubAddress,,23COM,0,35,Building,,B2300685,Commercial New Secondary Building,Routed for Review,142,,,REMINGTON,ST,,,Place 320 square foot (shipping container) accessory building for retail storage for Gearage Outdoor Sports. Place on the rear of the lot. No utilities will be included. Job Contact: Scott Neuenschwander 970-449-1610,142   REMINGTON ST,,&capID1=23COM&capID2=00000&capID3=00035,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23COM&capID2=00000&capID3=00035&agencyCode=FTCOLLINS,,USA,"3,117,983.31",,,,,ST,0,0,,0,,142,REMINGTON,80524,,0,,0,,142 REMINGTON ST,"1,456,629.34",0,,0,
,"1,579",U,0,A,,,,,,17CAP,0,000DJ,Building,,SP01918,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000DJ,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000DJ&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.05512831075 40.59481923011),"1,281",M,100,A,"606 11TH ST, 80524",,491970000,SubAddress,,23RAL,0,348,Building,,B2301921,Residential General Alteration,Applied,606,,,11TH,ST,,,Installation of a 4.92 KW solar PV system with 12 modules.,606   11TH ST,,&capID1=23RAL&capID2=00000&capID3=00348,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00348&agencyCode=FTCOLLINS,,USA,"3,123,547.64",,,,,ST,0,0,,0,,606,11TH,80524,,0,,0,,606 11TH ST,"1,459,841.62",0,,0,
POINT (-105.125934485651 40.577719742991),327,M,100,A,"812 ROCKY RD, 80521",,258600000,SubAddress,,22RAL,0,1321,Building,,B2207885,Residential General Alteration,Issued Full,812,,,ROCKY,RD,,,"Remove asbestos containing materials, replace all windows, replace gutters and downspouts, remove & replace all kitchen fixtures and finishes, remove & replace all bathroom fixtures and finishes, update all electrical fixtures and add ceiling fans where needed, remove and replace interior flooring, re-paint interior, replace interior millwork, minor interior and repairs and updates. Job contact: Aaron Ferguson 970-691-1256.",812   ROCKY RD,,&capID1=22RAL&capID2=00000&capID3=01321,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22RAL&capID2=00000&capID3=01321&agencyCode=FTCOLLINS,,USA,"3,103,910.55",,,,,RD,0,0,,0,,812,ROCKY,80521,,0,,0,,812 ROCKY RD,"1,453,521.30",0,,0,
POINT (-105.119423175187 40.547587333592),"1,121",M,100,A,"2338 FALCON DR, 80526",,700169068,SubAddress,,21COM,0,476,Building,TALON ESTATES,B2108532,Residential New Single Family Detached,Issued Full,"2,338",,,FALCON,DR,,,"New 2 story 3712 sq. ft. single family detached home with 798 sq. ft. attached garage,1,401 sq. ft. of finished basement, and 310 sq ft of unfinished basement. City Water. Energy - Prescriptive. Noco Custom homes completing framing. Job Contact: Jason Jones - 970-581-0481",2338   FALCON DR,,&capID1=21COM&capID2=00000&capID3=00476,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21COM&capID2=00000&capID3=00476&agencyCode=FTCOLLINS,,USA,"3,105,766.36",,,,,DR,0,0,,0,,2338,FALCON,80526,,0,,0,,2338 FALCON DR,"1,442,551.52",0,,0,
POINT (-105.052399063871 40.570717563998),421,M,100,A,"1408 E PITKIN ST, 80524",,47230000,SubAddress,,23RAL,0,467,Building,,B2302747,Residential General Alteration,Issued Full,"1,408",,E,PITKIN,ST,,,"Residential Remodel for kitchen remodel of 144 sq ft to include demo of kitchen soffets, curtain walls, and portion of the water damaged floors. Relocating kitchen sink to other side of the window, move plumbing vent accordingly. Remove all upstairs copper and replace with Pex. Installing new plumbing, and outlet boxes with hammer arrestors. Electrical work to include- relocating outlets, adding new dedicated outlets for appliances (fridge, dishwasher, disposal, & microwave) & partation out upper bathroom circuit. 
Job Contact: Andrew Lyle (913) 660-8581 HOMEOWNER AFFIDAVIT ON FILE",1408  E PITKIN ST,,&capID1=23RAL&capID2=00000&capID3=00467,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00467&agencyCode=FTCOLLINS,E,USA,"3,124,349.89",,,,,ST,0,0,,0,,1408,PITKIN,80524,,0,,0,,1408 E PITKIN ST,"1,451,064.99",0,,0,
,"2,171",U,0,A,,,,,,20CAP,0,000IB,Building,Glacier - 1629.1,SP02287,Stock Plan,Code Update Required,,,,,,,,New Single Family Detached stock plan for 2018 IRC review (Glacier - 1629.1),,,&capID1=20CAP&capID2=00000&capID3=000IB,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=000IB&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.0367108119 40.597169595778),"1,867",M,100,A,"743 POKEWEED LN, 80524",,700454941,SubAddress,,23COM,0,56,Building,WATERFIELD FOURTH FILING,B2300931,Residential New Single Family Attached,Issued Full,743,,,POKEWEED,LN,,,"New single family attached residence 2 story, 1514 sq. ft with crawlspace foundation and 450 sq. ft attached garage. Stock plan SP02428 (Cascade) with options  2 (Prairie Elevation ) 3 (electric fireplace ).SPA .ELCO/Boxelder. 200 A .Job contact: Andrew Paulick 218-329-4177",743   POKEWEED LN,,&capID1=23COM&capID2=00000&capID3=00056,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23COM&capID2=00000&capID3=00056&agencyCode=FTCOLLINS,,USA,"3,128,657.82",,,,,LN,0,0,,0,,743,POKEWEED,80524,,0,,0,,743 POKEWEED LN,"1,460,724.07",0,,0,
POINT (-105.065131219694 40.561273450132),"1,916",M,100,A,"1901 OSAGE ST, 80525",,313840000,SubAddress,,23RES,0,3,Building,,B2300717,Residential Addition,Issued Full,"1,901",,,OSAGE,ST,,,Residential addition to include expanding existing kitchen 9 sq. ft. Work also to include remodel of existing house (around 441 sq ft. in total) adding a larger window and door to kitchen. Installing new windows on main level. Adding (2) new egress windows in basement & replacing other windows and removal of (1) window. Eliminate one bedroom on the main floor for a larger relocated primary bathroom. Reworking primary closet. Adding new water heater if necessary. Replacing furnace & A/C. Job Contact: Andrew Rex (970) 682-9959,1901   OSAGE ST,,&capID1=23RES&capID2=00000&capID3=00003,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RES&capID2=00000&capID3=00003&agencyCode=FTCOLLINS,,USA,"3,120,829.70",,,,,ST,0,0,,0,,1901,OSAGE,80525,,0,,0,,1901 OSAGE ST,"1,447,606.83",0,,0,
POINT (-105.071526182207 40.588901151597),952,M,93.48,A,"131 LINCOLN AVE, 80524",,206810000,SubAddress,,HIS99,0,40186,Building,,B951571,Commercial New Com-Ind-Mixed-Use Building,Issued TCO,131,,E,LINCOLN,AVE,,,FRAMING  DRYWALL  PAINTING  MECHANICAL  ELECTRICAL  ELEVATOR FOR THE    CORE AND SHELL CONSTRUCTION ( COMMON AREA) TO CHANGE USE OF HARMONY MILLBUILDING TO 4 STORY OFFICE BUILDING.                                    HOLD CO FOR SITE AND LAND,131  E LINCOLN AVE,,&capID1=HIS99&capID2=00000&capID3=40186,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=HIS99&capID2=00000&capID3=40186&agencyCode=FTCOLLINS,,USA,"3,119,004.26",,,,,AVE,0,0,,0,,131,LINCOLN,80524,,0,,0,,131 LINCOLN AVE,"1,457,663.18",0,,0,
POINT (-105.024328049572 40.544835310294),991,M,100,A,"2902 SLADE ST, 80525",,640040000,SubAddress,,13COM,0,323,Building,Rigden Farm 6,B1302311,Residential New Secondary Building,Issued Full,"2,902",,,SLADE,ST,,GAR,"New 480 sq ft non conditioned detached 2 car garage for Habitat for Humanity Affordable Housing - framing work performed by Habitat for Humanity
Job contact: Mark Scott",2902   SLADE ST,11,&capID1=13COM&capID2=00000&capID3=00323,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=13COM&capID2=00000&capID3=00323&agencyCode=FTCOLLINS,,USA,"3,132,258.09",,,,,ST,0,0,,0,,2902,SLADE,80525,,0,"E,D",0,,2902 SLADE ST,"1,441,663.93",0,,0,
,"2,270",U,0,A,,,,,,19CAP,0,0005M,Building,Unit B2-B3,SP02238,Stock Plan,Code Update Required,,,,,,,,2018 IRC re-review for SP02190,,,&capID1=19CAP&capID2=00000&capID3=0005M,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=0005M&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.046959240087 40.520498477766),"1,089",M,100,A,"4803 INNOVATION DR, 80525",,492890001,SubAddress,,21RAL,0,1278,Building,,B2110091,Commercial General Alteration,Re-Issued Full,"4,803",,,INNOVATION,DR,,,Landlord finish to include small improvements in existing vacant tenant space on first floor. Work to include installation of 1 single bathroom. Job contact: TBA.,4803   INNOVATION DR,,&capID1=21RAL&capID2=00000&capID3=01278,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21RAL&capID2=00000&capID3=01278&agencyCode=FTCOLLINS,,USA,"3,125,954.57",,,,,DR,0,0,,0,,4803,INNOVATION,80525,,0,4,0,,4803 INNOVATION DR,"1,432,777.61",0,,0,
POINT (-105.08920859078 40.592714554458),"1,254",M,100,A,"416 N GRANT AVE, 80521",,189220000,SubAddress,,23AWN,0,149,Building,,B2301338,Demolition,Issued Full,416,,N,GRANT,AVE,,,Demolition of 1194 sf for full raze of existing detached residence. Job Contact - William Beech - 719-641-7252,416  N GRANT AVE,197,&capID1=23AWN&capID2=00000&capID3=00149,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23AWN&capID2=00000&capID3=00149&agencyCode=FTCOLLINS,N,USA,"3,114,159.35",,,,,AVE,0,0,,0,,416,GRANT,80521,,0,,0,,416 N GRANT AVE,"1,459,060.67",0,,0,
POINT (-105.038130911157 40.596927312698),120,M,100,A,"2117 ARBORWOOD LN, 80524",,700454881,SubAddress,,22COM,0,554,Building,WATERFIELD FOURTH FILING,B2208049,Residential New Single Family Detached,Issued Full,"2,117",,,ARBORWOOD,LN,,,"New single family residence 2 story, 1508 sq. ft. on crawlspace and 357 sq. ft attached garage. Stock plan SP02401 with no options . SPA. FCLWD. 200 A .Job contact: Zach Marsh 303-548-8173.",2117   ARBORWOOD LN,105,&capID1=22COM&capID2=00000&capID3=00554,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00554&agencyCode=FTCOLLINS,,USA,"3,128,281.25",,,,,LN,0,0,,0,,2117,ARBORWOOD,80524,,0,,0,,2117 ARBORWOOD LN,"1,460,660.40",0,,0,
POINT (-105.130049497948 40.566984676078),373,M,100,A,"1613 LARCH ST, 80526",,277940001,SubAddress,,23RAL,0,849,Building,,B2304796,Residential General Alteration,Ready to Issue,"1,613",,,LARCH,ST,,,"[Plan Review Comments: New fenestration shall have a maximum U-factor of 0.25 where the proposed fenestration area is more than 30 percent of the wall area by elevation. Otherwise, new fenestration shall have a maximum U-factor of 0.28.]
Replacing three windows with  U-factor 0.26 and Solar Heat Gain Coefficient (SHGC) 0.31 and one door with U-factor 0.28 and Solar Heat Gain Coefficient (SHGC) 0.23.
Job Contact: Tommy Williams (970) 787-7868",1613   LARCH ST,,&capID1=23RAL&capID2=00000&capID3=00849,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00849&agencyCode=FTCOLLINS,,USA,"3,102,783.81",,,,,ST,0,0,,0,,1613,LARCH,80526,,0,,0,,1613 LARCH ST,"1,449,605.62",0,,0,
POINT (-105.058707041046 40.599529801398),776,M,100,A,"1021 BIRDWHISTLE LN, 80524",,700421594,SubAddress,,23RAL,0,142,Building,,B2300805,Residential General Alteration,Issued Full,"1,021",,,BIRDWHISTLE,LN,,,Installation of 3.50kW Roof mounted Solar PV System w/ (10) panels,1021   BIRDWHISTLE LN,53,&capID1=23RAL&capID2=00000&capID3=00142,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00142&agencyCode=FTCOLLINS,,USA,"3,122,535.90",,,,,LN,0,0,,0,,1021,BIRDWHISTLE,80524,,0,7,0,,1021 BIRDWHISTLE LN,"1,461,557.99",0,,0,
POINT (-105.027800148547 40.520806915736),845,M,100,A,"2602 TIMBERWOOD DR, 80528",,2190001,SubAddress,,HIS99,0,40243,Building,WILDWOOD TOWNHOMES PUD,B961578,Residential New Single Family Attached,Issued TCO,"2,602",,,TIMBERWOOD,DR,,,NEW TOWNHOME  STOCK PLAN 815,2602   TIMBERWOOD DR,6,&capID1=HIS99&capID2=00000&capID3=40243,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=HIS99&capID2=00000&capID3=40243&agencyCode=FTCOLLINS,,USA,"3,131,352.65",,,,,DR,0,0,,0,,2602,TIMBERWOOD,80528,,0,23,0,,2602 TIMBERWOOD DR,"1,432,785.77",0,,0,
POINT (-105.073200566131 40.548861403371),"1,922",M,100,A,"309 RUTH ST, 80525",,337560000,SubAddress,,23RAL,0,126,Building,,B2300743,Residential General Alteration,Applied,309,,,RUTH,ST,,,"Roof Mounted Solar; 6 KW; 15 Modules, 1 Inverter; Sub Panel Upgrade 200A Sub Panel with 200A Main Breaker",309   RUTH ST,,&capID1=23RAL&capID2=00000&capID3=00126,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00126&agencyCode=FTCOLLINS,,USA,"3,118,609.44",,,,,ST,0,0,,0,,309,RUTH,80525,,0,,0,,309 RUTH ST,"1,443,074.15",0,,0,
POINT (-105.002591617169 40.513854797208),"1,006",M,100,A,"5207 SUNGLOW CT, 80528",,700375905,SubAddress,,19COM,0,403,Building,SUNRISE RIDGE 2ND,B1916642,Residential New Duplex,Issued Full,"5,207",,,SUNGLOW,CT,,,"New 1-story 3880 sq ft duplex with 2500 sq. ft. finished basement and 966 sq. ft. unfinished basement and 1210 sq. ft. of attached garage.   Stock Plan SP02261 with options 1 (Left Side - Basement Finish - Great Room), 2(Right Side - Basement Finish - Great Room), 3(Left Side Basement Finish - Bedroom and 3/4 bath), 4(Right Side - Basement Finish - Bedroom and 3/4 bath), 5(Left Side - Basement Finish - 2nd Bsmt - BedroomFCLWD IGA water district.  Energy compliance: SPA. Job contact: Richard Gray 970-567-0003. 5209 and 5207 Sunglow Ct.  Gray's Construction to do the framing and roofing.",5207   SUNGLOW CT,,&capID1=19COM&capID2=00000&capID3=00403,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19COM&capID2=00000&capID3=00403&agencyCode=FTCOLLINS,,USA,"3,138,302.85",,,,,CT,0,0,,0,,5207,SUNGLOW,80528,,0,,0,,5207 SUNGLOW CT,"1,430,423.41",0,,0,
,"1,394",U,0,A,,,,,,21CAP,0,000OE,Building,Yampa,SP02335,Stock Plan,Code Update Required,,,,,,,,,,,&capID1=21CAP&capID2=00000&capID3=000OE,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=000OE&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.092947964635 40.539069672055),551,M,100,A,"3531 WINDMILL DR, 80526",,359830001,SubAddress,,23RAL,0,417,Building,,B2302445,Residential General Alteration,Issued Full,"3,531",,,WINDMILL,DR,,,"Replace (3) windows with .28/.25 U-factor and .21/.20 SHGC factor.

Staff Comments: Safety glazing and operation to comply with 2021 IRC; Keep stickers on windows for inspection.",3531   WINDMILL DR,,&capID1=23RAL&capID2=00000&capID3=00417,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00417&agencyCode=FTCOLLINS,,USA,"3,113,138.10",,,,,DR,0,0,,0,,3531,WINDMILL,80526,,0,J 3,0,,3531 WINDMILL DR,"1,439,481.17",0,,0,
POINT (-105.078850680513 40.535448879637),928,M,100,A,"3750 S MASON ST, 80525",,413690000,SubAddress,,10AWN,0,576,Building,,B1005044,Demolition,Issued Full,"3,750",,S,MASON,ST,,,INTERIOR DEMOLITION OF NONSTRUCTURAL WALLS AND FLOORS.  BUILDING PERMIT DRAWINGS AND OWNER AUTHORIZATION W/PERMIT B1004685.  CONTRACTOR GIVEN COPY OF ASBESTOS HANDOUT.  POST 1975.,3750  S MASON ST,,&capID1=10AWN&capID2=00000&capID3=00576,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=10AWN&capID2=00000&capID3=00576&agencyCode=FTCOLLINS,S,USA,"3,117,062.51",,,,,ST,0,0,,0,,3750,MASON,80525,,0,,0,,3750 S MASON ST,"1,438,180.39",0,,0,
POINT (-105.072908367552 40.585853128558),134,M,100,A,"322 E OAK ST, 80524",,207630000,SubAddress,,22RAL,0,1272,Building,,B2207613,Residential General Alteration,Issued Full,322,,E,OAK,ST,,,"Residential remodel of 390 sf to include remodel of master bathroom, kitchen, install fireplace insert, construct platform above stairs in common area and rough in plumbing in basement for future bathroom. Homeowner affidavit on file. Job Contact - James S Downie - 303-419-6852",322  E OAK ST,,&capID1=22RAL&capID2=00000&capID3=01272,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22RAL&capID2=00000&capID3=01272&agencyCode=FTCOLLINS,E,USA,"3,118,625.73",,,,,ST,0,0,,0,,322,OAK,80524,,0,,0,,322 E OAK ST,"1,456,550.90",0,,0,
POINT (-105.036593453599 40.521439024133),"2,324",M,100,A,"2127 E HARMONY RD, 80528",,700081945,SubAddress,,23RAL,0,506,Building,,B2302968,Commercial General Alteration,Routed for Review,"2,127",,E,HARMONY,RD,,,"Commercial tenant finish of 4120 square feet for selective demolition and remodel to include eight new bed pre/post op area, two GI procedure rooms, new CO2 med gas room and patient intake area. Job Contact: TBD",2127  E HARMONY RD,211,&capID1=23RAL&capID2=00000&capID3=00506,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00506&agencyCode=FTCOLLINS,E,USA,"3,128,928.13",,,,,RD,0,0,,0,,2127,HARMONY,80528,,0,,0,,2127 E HARMONY RD,"1,433,129.36",0,,0,
POINT (-105.100635180412 40.588811108998),683,M,100,A,"140 N MCKINLEY AVE, 80521",,182390000,SubAddress,,23RES,0,36,Building,,B2303898,Residential Addition,Routed for Review,140,,N,MCKINLEY,AVE,,,"Residential Addition 1040 sq ft to build a new owners suite, spare bedroom onto the back. (East Side) of the house. Partial finished basement, partial unfinished storage area, partial crawl space under the addition. Relocate laundry and create new entry to mudroom area. Mech work to include new furnace & A/C for the addition. Utilizing existing water, sewer, and hot water systems. Relocate the existing electrical meter. Job Contact: Michael Snyder (307) 761-1962",140  N MCKINLEY AVE,,&capID1=23RES&capID2=00000&capID3=00036,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RES&capID2=00000&capID3=00036&agencyCode=FTCOLLINS,N,USA,"3,110,919.93",,,,,AVE,0,0,,0,,140,MCKINLEY,80521,,0,,0,,140 N MCKINLEY AVE,"1,457,592.64",0,,0,
POINT (-105.076536540171 40.500565148814),932,M,100,A,"6132 S COLLEGE AVE, 80525",,140990000,SubAddress,,10RAL,0,441,Building,,B1005380,Commercial General Alteration,Issued Full,"6,132",,S,COLLEGE,AVE,,,OPEN RANGE COMMUNICATIONS TO INSTALL ANTENNAS ON EXISTING STRUCTURE W/ACCOMPANYING GROUND EQUIPMENT.,6132  S COLLEGE AVE,,&capID1=10RAL&capID2=00000&capID3=00441,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=10RAL&capID2=00000&capID3=00441&agencyCode=FTCOLLINS,S,USA,"3,117,766.41",,,,,AVE,0,0,,0,,6132,COLLEGE,80525,,0,,0,,6132 S COLLEGE AVE,"1,425,475.21",0,,0,
POINT (-105.067989751985 40.561316771071),506,M,100,A,"636 CHEYENNE DR, 80525",,320600001,SubAddress,,23RAL,0,773,Building,,B2304562,Residential General Alteration,Issued Full,636,,,CHEYENNE,DR,,,Replace 1 door .27 U-Factor and .16 SHGC factor. Job Contact: Jesse Williams 970-775-6044,636   CHEYENNE DR,,&capID1=23RAL&capID2=00000&capID3=00773,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00773&agencyCode=FTCOLLINS,,USA,"3,120,035.40",,,,,DR,0,0,,0,,636,CHEYENNE,80525,,0,40,0,,636 CHEYENNE DR,"1,447,618.73",0,,0,
POINT (-105.0956709491 40.583215932046),132,M,100,A,"1124 W MAGNOLIA ST, 80521",,197230000,SubAddress,,22RAL,0,1063,Building,,B2206086,Residential General Alteration,Issued Full,"1,124",,W,MAGNOLIA,ST,,,"12/29 - Replace existing front deck 
12/28 - Added notes to prior approved plans indicating window and door headers being installed where none existed. Added notes to reframed living room ceiling with no habitable or storage space above.
Residential remodel of 1776 sf to remodel upstairs, basement, kitchens and bathrooms. Work to include new windows, doors, drywall, insulation, upgrade electrical. Add laundry room on 1st floor, convert basement bedroom into living room and install new air conditioning unit in attic. Work to include upgrade panels to 100A each. Job Contact - Matthew Garneau - 603-686-9035 - Homeowner affidavit on file.",1124  W MAGNOLIA ST,,&capID1=22RAL&capID2=00000&capID3=01063,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22RAL&capID2=00000&capID3=01063&agencyCode=FTCOLLINS,W,USA,"3,112,307.95",,,,,ST,0,0,,0,,1124,MAGNOLIA,80521,,0,,0,,1124 W MAGNOLIA ST,"1,455,560.51",0,,0,
